story_date;story_sequence_index;filename;is_meme;topic_primary;meme_type;source_mode;external_source_account;tone;ideological_target;notes;
01.01.2025;1;9217;1;new years eve;template;repost;piotr.mikolajski;satire;;people using fireworks;
01.01.2025;2;9218;0;;;text;;;;;
01.01.2025;3;9219;0;;;original;;;;;
01.01.2025;4;9220;1;new year ;video with caption;original;;satire;;joke about people hoping new year will bring change to their lives;
02.01.2025;1;9224;1;new year;video with caption;original;;satire;;;
02.01.2025;2;9225;0;;;original;;;;;
02.01.2025;3;9226;0;drugs;screenshot;reply;kosciolowskiprzemek;satire;;pun on gibon (type of ape and cigarette with marihuana);
03.01.2025;1;9232;0;;;;;;;screenshot from tv show where one interviewee wears mlh t-shirt;
03.01.2025;2;9233;1;nature;photo with caption;original;;satire;;;
03.01.2025;3;9234;0;;;;;;;;
04.01.2025;1;9237;1;animals ;video with caption;video;drhau.krakow;satire;;coming back to reality after holidays like coming to after a surgery;
04.01.2025;2;9238;0;animals ;;reply;przemeksurmacz;calming;;;
04.01.2025;3;9239;0;;video with caption;original;;;;;
05.01.2025;1;9240;1;lord of the rings;video with caption;original;;irony;;gandalf confused, at loss for finding his bearings;
06.01.2025;1;9241;0;;;;;;;;
06.01.2025;2;9242;1;;video ;repost;grayo_official;satire;;;
06.01.2025;3;9243;1;holidays;video with caption;original;;satire;working classes;harsh reality after long holidays;
06.01.2025;4;9244;1;holidays;macro;original;;satire;working classes;Ryszard petru reminds January 6 is free;
06.01.2025;5;9245;1;holidays;photo with caption;repost;marek_kornackisz;satire;;3 different delivery services vans parked in line;
06.01.2025;6;9246;1;holidays,politics;photo with caption;original;;satire;;Donald Tusk with snowman he built with red pepper for a nose;
06.01.2025;7;9247;1;holidays;photo with caption;original;;satire;;"close up on snowmans face with caption ""jebne 8 godzin snu i bedzie git""";
06.01.2025;8;9248;1;politics;photo with caption;original;;satire;;"close up on snowmans face with caption ""jebne 100 obietnic i bedzie git""";
06.01.2025;9;9249;0;politics;photo with caption;repost;karolinakp;satire;;polish edition of comedians in cars getting coffee from tv republika;
06.01.2025;10;9250;0;lifestyle;video;repost;mit.o.syzyfie;satire;;;
06.01.2025;11;9251;0;lewandowski;screenshot;original;;informative;;lewandowski's award of best bundesliga footballer in 21 century;
06.01.2025;12;9252;0;lewandowski;screenshot;original;;informative;;top 5 of the bild best footballers;
06.01.2025;13;9253;1;sports;photo ;original;;irony;;polish footballer best in german league;
06.01.2025;14;9254;1;everydaylife;photo;repost;lunaticdiva;satire;;3 different food couriers at mcdonalds checkout with bags ;
06.01.2025;15;9255;0;nature;video ;repost;darkdog6;funny;;spring coming;
06.01.2025;16;9256;1;celebrities;video with caption;repost;turtlehype;satire;;"""Moje mysli o 2 w nocy:"" and interview with podsiadlo";
06.01.2025;17;9257;0;nature;photo;repost;tomaszkurczaba;picturesque;;photo of sky in antarctic;
06.01.2025;18;9258;0;;;;;;;;
07.01.2025;1;9259;1;everydaylife;video with caption;adapted;michal.nyc;satire;;sliding down iced stairs;
07.01.2025;2;9260;0;duda;screenshot;repost;swobodny_lot_komety;satire;;andrzej duda photo at dump behind bars;
07.01.2025;3;9261;1;duda;photoshop;original;;satire;;close up on dudas face behind bars;
07.01.2025;4;9262;1;everydaylife;video with caption;original;;satire;working classes;man in bed floating down river;
07.01.2025;5;9263;1;work;video with caption;original;;satire;working classes;warrior being shot at with tens of arrows (opening work email box);
07.01.2025;6;9265;1;everydaylife,szczecin;photo with caption;adapted;marek_kornackisz;satire;;carpet stand on top of block of flats;
07.01.2025;7;9266;1;politics,menzen;photo with caption;original;;satire;;menzen getting measured at taylor;
07.01.2025;8;9267;1;politics,menzen;photoshop;repost;szwagierkolasla;satire;;;
